	ts_code	ann_date	end_date	holder_name	hold_amount
0	002079.SZ	20210429	20210331	科华天元(天津)商业运营管理有限公司	5600000.0
1	002079.SZ	20210429	20210331	苏州通博电子器材有限公司	227738352.0
2	002079.SZ	20210429	20210331	润福贸易有限公司	21974595.0
3	002079.SZ	20210429	20210331	秦皇岛宏兴钢铁有限公司	12525024.0
4	002079.SZ	20210429	20210331	国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金	6667707.0
5	002079.SZ	20210429	20210331	中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金	5995800.0
7	002079.SZ	20210429	20210331	肖孟佳	2753700.0
8	002079.SZ	20210429	20210331	华润深国投信托有限公司-景林丰收证券信托	2006000.0
9	002079.SZ	20210429	20210331	邱银河	1970000.0
10	002079.SZ	20210429	20210331	王贺军	1801103.0
15	002079.SZ	20210323	20201231	苏州通博电子器材有限公司	227738352.0
16	002079.SZ	20210323	20201231	润福贸易有限公司	21974595.0
17	002079.SZ	20210323	20201231	秦皇岛宏兴钢铁有限公司	12525024.0
18	002079.SZ	20210323	20201231	国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金	7923207.0
19	002079.SZ	20210323	20201231	中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金	6878800.0
20	002079.SZ	20210323	20201231	北京市太极华青信息系统有限公司	5500000.0
21	002079.SZ	20210323	20201231	香港中央结算有限公司(陆股通)	3285345.0
22	002079.SZ	20210323	20201231	李明睿	2886718.0
23	002079.SZ	20210323	20201231	邱银河	2010000.0
24	002079.SZ	20210323	20201231	王贺军	1801103.0
25	002079.SZ	20201210	20201130	苏州通博电子器材有限公司	227738352.0
26	002079.SZ	20201210	20201130	润福贸易有限公司	22274595.0
27	002079.SZ	20201210	20201130	秦皇岛宏兴钢铁有限公司	12525024.0
28	002079.SZ	20201210	20201130	中国银行股份有限公司-国泰CES半导体芯片行业交易型开放式指数证券投资基金	11326500.0
29	002079.SZ	20201210	20201130	国泰君安证券股份有限公司-国联安中证全指半导体产品与设备交易型开放式指数证券投资基金	10106007.0
30	002079.SZ	20201210	20201130	北京市太极华青信息系统有限公司	5450000.0
31	002079.SZ	20201210	20201130	香港中央结算有限公司(陆股通)	2533307.0
32	002079.SZ	20201210	20201130	泰康人寿保险有限责任公司-分红-个人分红-019L-FH002深	2032000.0
33	002079.SZ	20201210	20201130	邱银河	1970000.0
34	002079.SZ	20201210	20201130	肖孟佳	1880436.0
